# 家計インフレ影響シミュレーション
# 年収500万円、年2%インフレ想定
year,years_from_2026,price_index,income_wage_linked_万円,income_flat_万円,real_purchasing_power_linked_pct,real_purchasing_power_flat_pct
2026,0,100.0,500,500,100.0,100.0
2030,4,108.2,541,500,100.0,92.4
2035,9,119.5,597,500,100.0,83.7
2040,14,131.9,660,500,100.0,75.8
2043,17,140.0,700,500,100.0,71.4
2045,19,145.7,728,500,100.0,68.7
2050,24,160.8,804,500,100.0,62.2
2055,29,177.6,888,500,100.0,56.3
2060,34,196.1,980,500,100.0,51.0
