# ドル建て所得シミュレーション
# 2026年基準=100として指数化
year,usdjpy_base,usdjpy_weak,income_linked_万円,income_flat_万円,usd_income_base_linked_pct,usd_income_base_flat_pct,usd_income_weak_linked_pct,usd_income_weak_flat_pct
2026,157,157,500,500,100.0,100.0,100.0,100.0
2030,150,165,541,500,113.3,104.7,103.0,95.2
2035,145,175,597,500,129.3,108.3,107.1,89.7
2040,140,185,660,500,147.9,112.1,112.0,84.9
2043,138,191,700,500,159.3,113.8,115.1,82.2
2045,135,200,728,500,169.3,116.3,114.3,78.5
2050,133,200,804,500,189.8,118.0,126.3,78.5
2055,131,200,888,500,212.8,119.8,139.4,78.5
2060,130,200,980,500,236.8,120.8,153.9,78.5
