# 税収内訳 歴史データ（兆円）
# Source: 財務省 令和6年度決算概要
# 2025(FY2024)は公式決算値: 消費税25.0/所得税21.2/法人税17.9/その他11.0
year,income_tax,corporate_tax,consumption_tax,other_taxes,total_tax
1990,26.0,18.4,4.6,11.1,60.1
1995,19.5,13.7,5.8,13.1,52.1
2000,18.8,11.7,9.8,10.4,50.7
2005,15.6,13.3,10.6,9.6,49.1
2010,12.7,8.7,10.0,10.1,41.5
2015,17.8,11.0,17.4,10.1,56.3
2020,19.2,11.2,20.9,9.5,60.8
2025,21.2,17.9,25.0,11.0,75.2
