# 金利・利払い費 予測
# rate_normal = 正常化シナリオ, rate_low = 低金利継続シナリオ
year,rate_normal_pct,rate_low_pct,interest_normal_trillion,interest_low_trillion
2025,0.9,0.9,9.7,9.7
2030,1.5,1.0,17.3,11.5
2035,2.0,1.2,24.4,14.6
2040,2.3,1.3,29.4,16.6
2045,2.5,1.5,33.3,20.0
2050,2.5,1.5,34.3,20.6
2055,2.5,1.5,35.0,21.0
2060,2.5,1.5,35.5,21.3
